name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours
올리브동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,,20:00,20:00,20:00,20:00,20:00,20:00,18:00,,"평일,토요일 10:00~20:00 / 일요일 10:00~18:00"
퍼스트동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,16:00,,16:00,"평일 10:00~20:00 / 토,공휴일 10:00~16:00"
라온동물병원,10:00,10:00,10:00,10:00,10:00,11:00,,,18:30,18:30,18:30,18:30,18:30,17:00,,,평일 10:00~18:30/토 10:00~16:00
뉴월드동물병원,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,20:00,매일 10:00~20:00
참동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,18:00,,18:00,"평일 10:00~20:00/토,공휴일 10:00~18:00"
푸른동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,18:00,,17:00,평일 10:00~20:00/토 10:00~18:00/공휴일 10:00~17:00
서울종합동물병원방배,10:00,10:00,10:00,10:00,10:00,10:00,,,18:00,18:00,18:00,18:00,18:00,17:00,,,평일 10:00~18:00 / 토요일 10:00~17:00
서울숲동물병원,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,20:00,20:00,20:00,20:00,20:00,18:00,18:00,18:00,"평일 09:30~20:00 / 주말,공휴일 09:30~18:00"
반포자이동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,19:00,19:00,19:00,19:00,19:00,18:00,,18:00,"평일 10:00~19:00 / 토,공휴일 10:00~18:00"
이수동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,18:00,,,평일 10:00~20:00 / 토요일 10:00~18:00
도담도담동물병원,9:30,9:30,9:30,9:30,9:30,10:00,10:00,10:00,21:00,21:00,21:00,21:00,21:00,18:30,18:30,18:30,"평일 09:30~21:00 / 주말,공휴일 10:00~18:30"
센트럴동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,10:00,20:00,20:00,20:00,20:00,20:00,17:00,,17:00,"평일: 10:00~20:00 / 토,공휴일 10:00~17:00"
하트온동물병원,11:00,11:00,11:00,11:00,11:00,11:00,,11:00,20:00,20:00,20:00,20:00,20:00,17:00,,17:00,"평일 11:00~20:00 / 토,공휴일 11:00~17:00"
강북우리동물의료센터,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,20:00,20:00,20:00,20:00,20:00,20:00,18:00,18:00,"평일,토 09:30~20:00/일,공휴일 09:30~18:00"
웰니스동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,20:00,20:00,20:00,20:00,20:00,20:00,,,"평일,토요일 10:00~20:00"
김태화종합동물병원,10:00,10:00,10:00,10:00,10:00,10:00,,,19:00,19:00,19:00,19:00,19:00,17:00,,,평일 10:00~19:00 / 토요일 10:00~17:00
24시페토피아동물병원,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,매일 09:30~22:00 / 야간(응급) 22:00~09:30
반려동물의료센터 다울,9:30,9:30,9:30,9:30,9:30,9:30,9:30,9:30,22:00,22:00,22:00,22:00,22:00,22:00,22:00,22:00,매일 09:30~22:00
