HospitalID,name,mon_start,tue_start,wed_start,thu_start,fri_start,sat_start,sun_start,hol_start,mon_end,tue_end,wed_end,thu_end,fri_end,sat_end,sun_end,hol_end,businessHours
681,강북동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
682,호수동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1200,0,0,"평일,토 10:00~20:00"
683,보성통증동물병원,630,630,0,630,630,630,0,0,1110,1110,0,1110,1110,1080,0,0,평일 10:30~18:30(수요일 휴무) / 토요일 10:30~18:00
684,VIP동물의료센터 서초점,600,600,600,600,600,600,600,600,1200,1200,1200,1200,1200,1200,1200,1200,매일 주간진료 10:00~20:00/야간진료 20:00~09:00
685,고려종합동물병원,600,600,600,600,600,600,0,0,1200,1200,1200,1200,1200,1140,0,0,평일 10:00~20:00/토 10:00~19:00/예약 시 응급진료 가능
686,365 한가람동물의료센터,570,570,570,570,570,570,570,570,1290,1290,1290,1290,1290,1290,1290,1290,매일 09:30~21:30/야간 응급실
687,도그원동물의료센터,630,630,630,630,630,630,0,0,1230,1230,1230,1230,1230,1230,0,0,월~토 10:30~20:30
688,마음사랑동물병원,600,600,600,600,600,600,660,600,1200,1200,1200,1200,1200,1200,1020,1140,"평일,토요일 10:00~20:00 / 일요일 11:00~17:00 / 공휴일 10:00~19:00"
689,비바동물병원,600,600,600,600,600,600,0,0,1170,1170,1170,1170,1170,1080,0,0,평일 10:00~19:30 / 토요일 10:00~18:00
690,러브펫동물병원 타임스퀘어점,630,630,630,630,630,630,660,630,1200,1200,1200,1200,1200,1200,1140,1200,매일 10:30~20:00/일요일 11:00~19:00/펫샵은 10:00~22:00
691,송정동물메디컬센터,600,600,600,600,600,600,780,0,1320,1320,1320,1320,1320,1320,1080,0,월~토 10:00~22:00/일 13:00~18:00
692,로얄도그&캣메디컬센터 스타건대점,0,0,0,0,0,0,0,0,1440,1440,1440,1440,1440,1440,1440,1440,매일 00:00~24:00/야간 22:00~09:00
693,루시드동물메디컬센터 동대문점,540,540,540,540,540,540,540,540,1320,1320,1320,1320,1320,1320,1320,1320,매일 09:00~22:00
694,광진필동물병원,600,600,600,600,600,600,600,0,1260,1260,1260,1260,1260,1260,1260,0,주간진료 10:00~21:00 / 응급진료 21:00~10:00 (일요일 응급실 휴진)
695,우리동물병원,570,570,570,570,570,570,0,0,1140,1140,1140,1140,1140,900,0,0,평일 09:30~19:00/토 09:30~15:00
696,열린동물병원,540,540,540,540,540,540,540,540,1080,1080,1080,1080,1080,1080,1080,1080,
